Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Roger,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Bragantino,1,2,Atlético MG,0,,Mirassol,2,0,Flamengo,0,,,,,,,,,,,,,,,,
Palmeiras,2,0,Vitória,0,,Fluminense,3,1,Bahia,4,,,,,,,,,,,,,,,,
Vasco,2,1,Mirassol,0,,Botafogo,1,2,Fortaleza,0,,,,,,,,,,,,,,,,
Grêmio,1,3,Fluminense,3,,Corinthians,1,0,Juventude,0,,,,,,,,,,,,,,,,
Fortaleza,1,0,Corinthians,4,,Santos,1,0,Cruzeiro,3,,,,,,,,,,,,,,,,
Juventude,0,2,Santos,3,,Atlético MG,2,0,Vasco,3,,,,,,,,,,,,,,,,
São Paulo,1,2,Internacional,0,,Internacional,0,1,Bragantino,0,,,,,,,,,,,,,,,,
Bahia,2,0,Sport,3,,Vitória,1,0,São Paulo,5,,,,,,,,,,,,,,,,
Flamengo,2,1,Ceará,4,,Ceará,1,2,Palmeiras,3,,,,,,,,,,,,,,,,
Cruzeiro,1,0,Botafogo,0,,Sport,0,1,Grêmio,3,,,,,,,,,,,,,,,,
