Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Kelder,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Bragantino,1,0,Vitória,3,,Internacional,2,1,Santos,0,,Ceará,2,2,Cruzeiro,3,,,,,,,,,,
Atlético MG,1,1,Palmeiras,0,,Fortaleza,1,0,Atlético MG,5,,Corinthians,5,0,Botafogo,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
Bragantino,2,1,Atlético MG,3,,Mirassol,2,1,Flamengo,0,,,,,,,,,,,,,,,,
Palmeiras,2,0,Vitória,0,,Fluminense,2,1,Bahia,3,,,,,,,,,,,,,,,,
Vasco,0,2,Mirassol,5,,Botafogo,2,2,Fortaleza,0,,,,,,,,,,,,,,,,
Grêmio,1,2,Fluminense,5,,Corinthians,2,1,Juventude,0,,,,,,,,,,,,,,,,
Fortaleza,1,0,Corinthians,4,,Santos,2,0,Cruzeiro,3,,,,,,,,,,,,,,,,
Juventude,0,2,Santos,3,,Atlético MG,2,1,Vasco,3,,,,,,,,,,,,,,,,
São Paulo,0,0,Internacional,0,,Internacional,1,1,Bragantino,0,,,,,,,,,,,,,,,,
Bahia,3,1,Sport,4,,Vitória,2,3,São Paulo,0,,,,,,,,,,,,,,,,
Flamengo,5,0,Ceará,3,,Ceará,3,2,Palmeiras,0,,,,,,,,,,,,,,,,
Cruzeiro,2,2,Botafogo,5,,Sport,0,2,Grêmio,3,,,,,,,,,,,,,,,,
