Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Gabriel,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 31,,,,Acertos,,Rodada 32,,,,Acertos,,Rodada 33,,,,Acertos,,,,,,,,,,
Santos,1,0,Fortaleza,0,,Bragantino,1,1,Corinthians,0,,Sport,0,2,Atlético MG,4,,,,,,,,,,
Cruzeiro,2,0,Vitória,4,,Vitória,1,2,Internacional,0,,Vasco,1,0,Juventude,0,,,,,,,,,,
Mirassol,2,1,Botafogo,0,,Sport,2,2,Juventude,0,,Internacional,1,1,Bahia,3,,,,,,,,,,
Flamengo,4,0,Sport,3,,Botafogo,1,1,Vasco,0,,São Paulo,1,0,Bragantino,0,,,,,,,,,,
Corinthians,2,1,Grêmio,3,,Atlético MG,2,0,Bahia,3,,Corinthians,1,1,Ceará,0,,,,,,,,,,
Bahia,2,1,Bragantino,5,,Grêmio,1,1,Cruzeiro,0,,Cruzeiro,2,0,Fluminense,0,,,,,,,,,,
Ceará,1,0,Fluminense,3,,São Paulo,1,2,Flamengo,0,,Vitória,1,1,Botafogo,3,,,,,,,,,,
Internacional,2,1,Atlético MG,0,,Fluminense,1,1,Mirassol,0,,Flamengo,3,0,Santos,3,,,,,,,,,,
Juventude,1,1,Palmeiras,0,,Ceará,2,1,Fortaleza,0,,Mirassol,1,1,Palmeiras,0,,,,,,,,,,
Vasco,2,0,São Paulo,0,,Palmeiras,2,1,Santos,3,,Fortaleza,1,1,Grêmio,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,2,0,Sport,3,,Botafogo,1,1,Grêmio,0,,Atlético MG,0,1,Flamengo,0,,,,,,,,,,
Fluminense,1,2,Flamengo,0,,Flamengo,3,0,Bragantino,5,,Grêmio,1,1,Palmeiras,0,,,,,,,,,,
Grêmio,2,1,Vasco,3,,Palmeiras,2,0,Fluminense,0,,Bragantino,1,2,Fortaleza,4,,,,,,,,,,
Santos,1,1,Mirassol,5,,São Paulo,2,1,Juventude,5,,Fluminense,2,0,São Paulo,3,,,,,,,,,,
Juventude,1,1,Cruzeiro,3,,Bahia,2,1,Vasco,4,,Juventude,1,1,Bahia,5,,,,,,,,,,
Bahia,2,0,Fortaleza,0,,Sport,0,2,Vitória,4,,Vasco,1,1,Internacional,0,,,,,,,,,,
Corinthians,2,1,São Paulo,3,,Cruzeiro,2,1,Corinthians,3,,Santos,2,0,Sport,3,,,,,,,,,,
Ceará,1,0,Internacional,0,,Mirassol,2,0,Ceará,3,,Vitória,2,1,Mirassol,3,,,,,,,,,,
Bragantino,2,2,Vitória,0,,Internacional,1,1,Santos,5,,Ceará,1,1,Cruzeiro,5,,,,,,,,,,
Atlético MG,1,1,Palmeiras,0,,Fortaleza,1,0,Atlético MG,5,,Corinthians,1,0,Botafogo,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
Bragantino,2,1,Atlético MG,3,,Mirassol,2,1,Flamengo,0,,,,,,,,,,,,,,,,
Palmeiras,2,1,Vitória,0,,Fluminense,2,0,Bahia,5,,,,,,,,,,,,,,,,
Vasco,2,1,Mirassol,0,,Botafogo,2,1,Fortaleza,3,,,,,,,,,,,,,,,,
Grêmio,1,1,Fluminense,0,,Corinthians,2,0,Juventude,0,,,,,,,,,,,,,,,,
Fortaleza,1,1,Corinthians,0,,Santos,1,0,Cruzeiro,3,,,,,,,,,,,,,,,,
Juventude,1,0,Santos,0,,Atlético MG,2,1,Vasco,3,,,,,,,,,,,,,,,,
São Paulo,0,0,Internacional,0,,Internacional,1,1,Bragantino,0,,,,,,,,,,,,,,,,
Bahia,3,1,Sport,4,,Vitória,1,0,São Paulo,5,,,,,,,,,,,,,,,,
Flamengo,2,0,Ceará,3,,Ceará,2,1,Palmeiras,0,,,,,,,,,,,,,,,,
Cruzeiro,2,1,Botafogo,0,,Sport,1,3,Grêmio,3,,,,,,,,,,,,,,,,
